                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1837,                 1.0446,                 1.2992,                0.44513,                0.33682,                0.34144,                 0.1893,                 1.3532,                 1.2499,                 1.3725,               0.001387,               0.001387,               0.001387
                     89,                 1.1878,                 1.0353,                 1.2975,                0.45307,                0.31929,                0.33678,                0.18861,                 1.3564,                 1.2527,                 1.3754,               0.001288,               0.001288,               0.001288
                     90,                 1.1846,                 1.0343,                 1.2939,                0.61686,                0.31557,                0.33493,                0.18697,                 1.3547,                 1.2657,                 1.3737,               0.001189,               0.001189,               0.001189
                     91,                 1.2065,                  1.009,                 1.2808,                0.59865,                0.32348,                0.34437,                0.18884,                 1.3641,                  1.247,                 1.3711,                0.00109,                0.00109,                0.00109
                     92,                 1.1997,                0.99226,                 1.2761,                0.57282,                0.32273,                0.34133,                0.18804,                 1.3645,                 1.2578,                 1.3756,               0.000991,               0.000991,               0.000991
                     93,                 1.1931,                0.97642,                 1.2722,                0.48657,                0.33006,                0.33727,                0.18732,                 1.3611,                 1.2672,                 1.3732,               0.000892,               0.000892,               0.000892
                     94,                 1.1919,                0.97112,                 1.2727,                0.52101,                 0.3367,                 0.3423,                0.18737,                 1.3574,                 1.2642,                 1.3712,               0.000793,               0.000793,               0.000793
                     95,                 1.1835,                0.97221,                 1.2673,                0.46983,                0.34882,                 0.3481,                0.19197,                 1.3584,                 1.2602,                 1.3719,               0.000694,               0.000694,               0.000694
                     96,                 1.1853,                0.96043,                 1.2699,                0.46819,                 0.3393,                0.33934,                0.18808,                 1.3551,                 1.2659,                 1.3672,               0.000595,               0.000595,               0.000595
                     97,                 1.1823,                0.95501,                  1.268,                0.44095,                0.34674,                0.34376,                0.18996,                 1.3568,                  1.257,                 1.3702,               0.000496,               0.000496,               0.000496
                     98,                 1.1766,                0.95093,                  1.261,                 0.4563,                0.34802,                0.34145,                0.18861,                 1.3576,                 1.2612,                  1.368,               0.000397,               0.000397,               0.000397
                     99,                 1.1768,                0.95075,                   1.26,                0.44299,                0.35032,                0.33936,                0.18829,                 1.3549,                 1.2614,                  1.367,               0.000298,               0.000298,               0.000298
                    100,                  1.173,                0.94466,                 1.2611,                0.45628,                0.34803,                0.34207,                0.18941,                 1.3565,                  1.254,                 1.3673,               0.000199,               0.000199,               0.000199
